Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-08-16_11:14, 22.25, None, None, 0, None, None, None, None, None, None
2018-08-16_11:18, 22.25, None, None, 0, None, None, None, None, None, None
2018-08-16_11:19, 22.25, None, None, 4.32, None, None, None, None, None, None
2018-08-16_11:20, 22.3125, None, None, 0, None, None, None, None, None, None
2018-08-16_14:07, 23.0, None, None, 0, None, None, None, None, None, None
2018-08-16_14:08, 23.0625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:09, 23.0625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:11, 23.0625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:11, 23.0625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:15, 23.1875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:16, 23.125, None, None, 0, None, None, None, None, None, None
2018-08-16_14:17, 23.125, None, None, 0, None, None, None, None, None, None
2018-08-16_14:18, 23.1875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:19, 23.25, None, None, 0, None, None, None, None, None, None
2018-08-16_14:19, 23.25, None, None, 0, None, None, None, None, None, None
2018-08-16_14:20, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:20, 23.3125, None, None, 0, None, None, None, None, None, None
2018-08-16_14:21, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:22, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:23, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:23, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:24, 23.4375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:24, 23.4375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:26, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:26, 23.375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:27, 23.5, None, None, 0, None, None, None, None, None, None
2018-08-16_14:27, 23.5625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:30, 23.625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:31, 23.625, None, None, 0, None, None, None, None, None, None
2018-08-16_14:32, 23.6875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:34, 23.75, None, None, 0, None, None, None, None, None, None
2018-08-16_14:35, 23.75, None, None, 0, None, None, None, None, None, None
2018-08-16_14:36, 23.875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:38, 23.875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:39, 23.875, None, None, 0, None, None, None, None, None, None
2018-08-16_14:40, 23.9375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:42, 23.9375, None, None, 0, None, None, None, None, None, None
2018-08-16_14:43, 23.9375, None, None, 0, None, None, None, None, None, None
2018-08-21_10:02, None, None, None, None, None, None, None, None, None, None
2018-08-21_10:04, None, None, None, None, None, None, None, None, None, None
2018-08-21_10:05, None, None, None, None, None, None, None, None, None, None
2018-08-21_10:06, None, None, None, None, None, None, None, None, None, None
2018-08-21_10:08, None, None, None, None, None, None, None, None, None, None
2018-08-21_10:09, None, None, None, None, None, None, None, None, None, None
2018-08-21_10:10, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:41, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:42, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:44, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:45, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:46, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:48, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:49, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:50, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:52, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:53, None, None, None, None, None, None, None, None, None, None
2018-08-22_09:54, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:32, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:33, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:34, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:36, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:37, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:38, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:40, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:41, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:42, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:44, None, None, None, None, None, None, None, None, None, None
2018-08-22_10:45, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:11, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:12, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:13, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:15, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:16, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:17, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:19, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:20, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:21, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:23, None, None, None, None, None, None, None, None, None, None
2018-08-23_08:24, None, None, None, None, None, None, None, None, None, None
